4,Cash,13.97
1,Card,3.45
3,Cash,120.3
8,Cash,45.6
5,Card,42.0
3,Card,66.0
3,Card,45.0
6,Cash,43.0
1,Card,12.5
5,Cash,42.0
1,Card,74.3
1,Cash,13.0
2,Cash,0.0
1,Card,31.490000000000002
2,Card,11.5
1,Cash,13.0
1,Card,0.0
1,Card,26.0
4,Card,200.0
4,Card,200.0
-1,Cash,178.0
-5,Cash,178.0
12,Cash,23.0
12,Cash,23.0
12,Cash,23.0
10,Cash,198.0
1,Cash,120.0
19,Cash,120.0
20,Cash,122.0
10,Cash,1.7976931348623157E308
1,Cash,120.0
19,Cash,120.0
20,Cash,122.0
10,Cash,1.0
10,Cash,1.7976931348623157E308
10,Cash,198.0
10,Cash,1.7976931348623157E308
1,Cash,120.0
19,Cash,120.0
20,Cash,122.0
10,Cash,1.0
10,Cash,1.7976931348623157E308
10,Cash,198.0
10,Cash,198.0
10,Cash,198.0
10,Cash,198.0
1,Cash,120.0
19,Cash,120.0
20,Cash,122.0
10,Cash,1.0
10,Cash,1.7976931348623157E308
1,Cash,120.0
19,Cash,120.0
20,Cash,122.0
10,Cash,1.0
10,Cash,1.7976931348623157E308
10,Cash,198.0
10,Cash,198.0
10,Cash,198.0
10,Cash,198.0
10,Cash,198.0
1,Cash,120.0
19,Cash,120.0
20,Cash,122.0
10,Cash,1.0
10,Cash,1.7976931348623157E308
1,Cash,120.0
19,Cash,120.0
20,Cash,122.0
10,Cash,1.0
10,Cash,1.7976931348623157E308
10,Cash,198.0
10,Cash,198.0
1,Cash,120.0
19,Cash,120.0
20,Cash,122.0
10,Cash,1.0
10,Cash,1.7976931348623157E308
10,Cash,1.7976931348623157E308
10,Cash,198.0
10,Cash,198.0
